,Random Forest,XGBoost,Hybrid GARCH+ML
close_open_return,0.007293285031091115,0.02057263,0.02151374
dist_ma20,0.03237114839619551,0.041954458,0.035294846
dist_ma50,0.0668170710684746,0.07638858,0.04761326
garch_cond_vol,0.0,0.0,0.10212234
garman_klass_vol_20d,0.10614639500421166,0.10843095,0.079735324
high_low_range_pct,0.003578006647206442,0.017340982,0.014414341
mom_20d,0.164638917548093,0.12199468,0.13024373
mom_5d,0.02166259443345548,0.03347912,0.036660172
parkinson_vol_20d,0.1792303223205513,0.110958315,0.10291033
return_lag_1,0.007568492054982486,0.015162302,0.013142817
return_lag_10,0.006406337753888651,0.018897295,0.01595875
return_lag_2,0.008812916056652607,0.016482463,0.013930122
return_lag_20,0.0048334144745489725,0.020975862,0.01347534
return_lag_3,0.009883992127301157,0.015919555,0.01564315
return_lag_5,0.01653758764877013,0.023643125,0.022966372
vol_ann_10d,0.1070591957744939,0.05746878,0.05775649
vol_ann_20d,0.025080050383583824,0.04161647,0.036101997
vol_ann_30d,0.032902558462034374,0.046846904,0.036412455
vol_ann_5d,0.008732340498220697,0.02129304,0.016015908
vol_ann_60d,0.038074565056104584,0.042937346,0.041165873
vol_ratio_20_60,0.04139487160523678,0.037894458,0.03685438
vol_ratio_5_20,0.009175622344505176,0.019780075,0.016745035
volume_change_1d,0.004513812459360413,0.012827638,0.012348799
volume_ratio_5_20,0.02565549351438394,0.033161797,0.032818828
volume_vol_20d,0.07163100933665324,0.043973196,0.04815563
