Model,Observations,MAE,RMSE,QLIKE,Relative_RMSE,Regime
Random Forest,498,0.060819559904923416,0.10782565471863946,0.604662946209813,0.891975561775668,High Volatility
Hybrid GARCH+ML,498,0.05927767245345457,0.10870361949340035,0.5836417170032114,0.8992384263066563,High Volatility
XGBoost,498,0.06109421291376301,0.11009355590001148,0.6551242946560706,0.9107365183920187,High Volatility
Historical Volatility,498,0.0681851388285795,0.12088409070758559,0.7037810664100163,1.0,High Volatility
GARCH,498,0.07136171292583691,0.1312667319366162,1.1076913029649749,1.0858892280055765,High Volatility
XGBoost,499,0.040360939791249995,0.05158456236744487,0.3225895629278017,0.6709036787110817,Low Volatility
Random Forest,499,0.04222483217462657,0.05313531740490576,0.34134813651627993,0.6910726442244707,Low Volatility
Hybrid GARCH+ML,499,0.04605381522459127,0.05638577181422902,0.36986262452556307,0.7333477304249479,Low Volatility
GARCH,499,0.055060306032328275,0.06942293050034565,0.4529824240861517,0.9029077173867803,Low Volatility
Historical Volatility,499,0.052556924988995654,0.07688817933827319,0.42687073317791047,1.0,Low Volatility
