Model,Observations,MAE,RMSE,QLIKE,Relative_RMSE,Horizon_Days
Random Forest,201,0.08452631583121051,0.12240296075257712,2.3581810707601236,0.8665164946955048,1
XGBoost,201,0.08452922827999376,0.12361670196489684,2.565578848439003,0.8751088259128248,1
Hybrid GARCH+ML,201,0.08950150879205453,0.1261294412180839,2.370597138131811,0.8928970395015194,1
GARCH,201,0.09661837867067097,0.1352497842088822,2.297817027970351,0.9574618800104192,1
Historical Volatility,201,0.10154187326397902,0.14125866212805296,1.7830899681966867,1.0,1
XGBoost,200,0.051421523202741036,0.07724257336782919,0.5260206624154491,0.8514167440178808,5
Random Forest,200,0.05176966752851549,0.0776441017668756,0.5095413693960691,0.8558426452694979,5
Hybrid GARCH+ML,200,0.05360548841749017,0.07933010820629109,0.5308173233714979,0.8744268799790861,5
Historical Volatility,200,0.05848889056494231,0.09072240346521421,0.47204742945263367,1.0,5
GARCH,200,0.06452049823075545,0.09805730563097967,0.9600752283316426,1.0808499542075942,5
Random Forest,199,0.043652622357136274,0.0669764209454847,0.33777711850714853,0.8285445960867912,10
Hybrid GARCH+ML,199,0.044120945775551756,0.06761473383818571,0.3514343990119507,0.8364409675320559,10
XGBoost,199,0.043544117459139914,0.0676190400725798,0.3638968384170522,0.8364942386263654,10
Historical Volatility,199,0.05238877063640407,0.08083622928906149,0.3579197529664524,1.0,10
GARCH,199,0.0578274303545462,0.08737114004884772,0.7413675574897016,1.0808413605787832,10
Hybrid GARCH+ML,197,0.04140766578953997,0.0654196220952809,0.3351645788817859,0.7683418786132379,20
Random Forest,197,0.04181020703947799,0.06640725069931296,0.3532160281706107,0.7799414017026397,20
XGBoost,197,0.0418340941477232,0.06641245299222318,0.3600355155468132,0.7800025017117763,20
GARCH,197,0.054419195585890985,0.08046679370835076,0.6214199843856383,0.9450682450261045,20
Historical Volatility,197,0.05341236435827044,0.08514389741888759,0.37370329576539446,1.0,20
