Cost_bps,Total_Friction_bps,Model,Net_Sharpe,Net_CAGR,Annual_Turnover,Max_Drawdown
0.0,5.0,Historical Volatility,0.42885142569524737,0.1267303113685072,8.293014833199543,-0.3576673781874082
0.0,5.0,GARCH,0.49998128185043916,0.15139463630208239,2.46992545317287,-0.41364420340750924
0.0,5.0,Random Forest,0.4212328576855812,0.12651669358081663,12.717329575446186,-0.41147357883739805
0.0,5.0,XGBoost,0.4862362051282727,0.14448154951938386,17.311983513574194,-0.3858904967899042
0.0,5.0,Hybrid GARCH+ML,0.38986554841517107,0.11715627498520509,17.27169358036015,-0.41298058455930914
5.0,10.0,Historical Volatility,0.41106769089044687,0.12206569113203569,8.293014833199543,-0.35803576005963955
5.0,10.0,GARCH,0.49511368854674526,0.14996065782073753,2.46992545317287,-0.4137431200257631
5.0,10.0,Random Forest,0.3961577658240416,0.11937750401991298,12.717329575446186,-0.4128196638950365
5.0,10.0,XGBoost,0.45095008782687157,0.1346158733831373,17.311983513574194,-0.38724323749133494
5.0,10.0,Hybrid GARCH+ML,0.35560301719055976,0.10755758737786647,17.27169358036015,-0.4143051838821977
10.0,15.0,Historical Volatility,0.3932840686303634,0.11741999509676404,8.293014833199543,-0.3584039605581911
10.0,15.0,GARCH,0.4902457254169149,0.14852821099528946,2.46992545317287,-0.41384203110298884
10.0,15.0,Random Forest,0.3710811806548109,0.11228292558017006,12.717329575446186,-0.41418105358697216
10.0,15.0,XGBoost,0.41566478357262915,0.12483439597910295,17.311983513574194,-0.38904498226275414
10.0,15.0,Hybrid GARCH+ML,0.32133497450398957,0.09804055411845058,17.27169358036015,-0.415627012990966
15.0,20.0,Historical Volatility,0.3755008301157253,0.11279314797082418,8.293014833199543,-0.35877197976073555
15.0,20.0,GARCH,0.4853774401402487,0.14709729440835018,2.46992545317287,-0.4139409366391861
15.0,20.0,Random Forest,0.34600358183225255,0.10523268333055014,12.717329575446186,-0.41595430584577864
15.0,20.0,XGBoost,0.38038109261166986,0.11513640580127937,17.311983513574194,-0.3909788877655789
15.0,20.0,Hybrid GARCH+ML,0.28706215196545204,0.08860448741897797,17.27169358036015,-0.41723911453923757
20.0,25.0,Historical Volatility,0.35771824642079897,0.10818507475628847,8.293014833199543,-0.3591398177449154
20.0,25.0,GARCH,0.4805088803684249,0.14566790664365614,2.46992545317287,-0.4140398366343551
20.0,25.0,Random Forest,0.32092544899134196,0.09822650401141009,12.717329575446186,-0.4177224697283416
20.0,25.0,XGBoost,0.3450998147569494,0.10552119729720011,17.311983513574194,-0.39290694481713634
20.0,25.0,Hybrid GARCH+ML,0.2527852816510223,0.07924870522828908,17.27169358036015,-0.41915951366457754
30.0,35.0,Historical Volatility,0.3221561270313877,0.09902495153264534,8.293014833199543,-0.36000942657283264
30.0,35.0,GARCH,0.470771127794214,0.1428137119215449,2.46992545317287,-0.41423762000160724
30.0,35.0,Random Forest,0.27076949942240014,0.0843452494228969,12.717329575446186,-0.42124358766394987
30.0,35.0,XGBoost,0.2745476949099326,0.0865363325724684,17.311983513574194,-0.39674558104879326
30.0,35.0,Hybrid GARCH+ML,0.18422232786028317,0.06077529456877584,17.27169358036015,-0.42298221256366425
50.0,55.0,Historical Volatility,0.25105165451097167,0.08092672447764215,8.293014833199543,-0.3626072633019072
50.0,55.0,GARCH,0.4512944217786114,0.137123606153011,2.46992545317287,-0.41463312024377075
50.0,55.0,Random Forest,0.17047228313086082,0.057099655178885156,12.717329575446186,-0.42822536932227284
50.0,55.0,XGBoost,0.13350753506142538,0.04952958828138132,17.311983513574194,-0.4043534118071814
50.0,55.0,Hybrid GARCH+ML,0.04708009174975023,0.024762502882102577,17.27169358036015,-0.4305557182644342
