Model,EMA_Smoothing_Span,Net_CAGR,Net_Sharpe,Annual_Turnover,Max_Drawdown
Random Forest,1,0.11228292558017006,0.3710811806548109,12.717329575446186,-0.41418105358697216
XGBoost,1,0.12483439597910295,0.41566478357262915,17.311983513574194,-0.38904498226275414
Hybrid GARCH+ML,1,0.09804055411845058,0.32133497450398957,17.27169358036015,-0.415627012990966
Random Forest,3,0.12298757424228612,0.4083751574841996,7.6107375374037005,-0.42004843732618335
XGBoost,3,0.12505686831040252,0.41491464826672186,9.538645027411555,-0.41471574990910925
Hybrid GARCH+ML,3,0.10864494494835997,0.3595910869333876,9.932258714471063,-0.42057509825268835
Random Forest,5,0.12728742181721753,0.4223002970282801,5.908381517690573,-0.42553527763997917
XGBoost,5,0.12304199361028134,0.4071630080302646,7.201189304142939,-0.43138500937921176
Hybrid GARCH+ML,5,0.11256721754422849,0.3730603241237958,7.518106644420546,-0.42708450953809823
Random Forest,10,0.13196203235068626,0.43616390945958344,4.223963840399218,-0.43589780334367223
XGBoost,10,0.11915847011268932,0.39367230471983994,4.92672681448586,-0.45545783952626934
Hybrid GARCH+ML,10,0.11625287794859629,0.3848790298987422,5.052038506264855,-0.44040017186655456
